text,label
The mayor announced a new initiative to improve public transportation.,Politics
The senator is facing criticism for her stance on the recent bill.,Politics
The upcoming election has sparked intense debates among the candidates.,Politics
Regular exercise and a balanced diet are key to maintaining good health.,Health
The World Health Organization has issued new guidelines on COVID-19.,Health
A new study reveals the benefits of meditation for mental health.,Health
The stock market saw a significant drop following the announcement.,Finance
Investing in real estate can be a profitable venture if done correctly.,Finance
The company's profits have doubled since the launch of their new product.,Finance
Visiting the Grand Canyon is a breathtaking experience.,Travel
The tourism industry has been severely impacted by the pandemic.,Travel
Backpacking through Europe is a popular choice for young travelers.,Travel
The new restaurant in town offers a fusion of Italian and Japanese cuisine.,Food
Drinking eight glasses of water a day is essential for staying hydrated.,Food
Cooking classes are a fun way to learn new recipes and techniques.,Food
The school district is implementing a new curriculum for the upcoming year.,Education
Online learning has become increasingly popular during the pandemic.,Education
The university is offering scholarships for students in financial need.,Education
Climate change is causing a significant rise in sea levels.,Environment
Recycling and composting are effective ways to reduce waste.,Environment
The Amazon rainforest is home to millions of unique species.,Environment
The new fashion trend is all about sustainability and eco-friendly materials.,Fashion
The annual Met Gala is a major event in the fashion world.,Fashion
Vintage clothing has made a comeback in recent years.,Fashion
NASA's Mars Rover has made significant discoveries about the red planet.,Science
The Nobel Prize in Physics was awarded for breakthroughs in black hole research.,Science
Genetic engineering is opening up new possibilities in medical treatment.,Science
The NBA Finals are set to begin next week with the top two teams in the league.,Sports
Serena Williams continues to dominate the tennis world with her powerful serve.,Sports
The World Cup is the most prestigious tournament in international soccer.,Sports
Artificial intelligence is changing the way we live and work.,Technology
The latest iPhone has a number of exciting new features.,Technology
Cybersecurity is becoming increasingly important as more and more data moves online.,Technology
The new Marvel movie is breaking box office records.,Entertainment
The Grammy Awards are a celebration of the best music of the year.,Entertainment
The latest season of Game of Thrones had fans on the edge of their seats.,Entertainment
The Palancas Negras have been unable to secure the release of many of their Portugal-based players,Sports
The CML said lending for house purchases and gross mortgage lending were 29% and 18% lower year-on-year respectively,Finance
The IMF however remains cautious about what it sees as a lack of transparency in government actions,Politics
The policy's objective is to combat air pollution in Delhi,Politics
"The net firm estimates that if enough people sign up and download the tool, spammers could end up paying to send out terabytes of data",Technology
"The team is optimistic that on-ground scenario will improve by then,"" reports stated",Finance
The film was released last year and it starred Sayani Gupta and Hussain Dalal,Entertainment
The Japanese Rugby Football Union (JRFU) says it has yet to receive a formal presentation from the HKRFU,Food
The 31-year-old scored an unbeaten 44 off 23 deliveries against Australia in first T20I,Sports
The event sees 14 films competing to win three Top Tiger Awards which aim to introduce promising new talent,Entertainment
The US is the worst coronavirus-hit country in the world with over 1,Travel
The £500m move will also increase the number of specialist sport colleges from 350 to 400,Education
The authorities have also directed the closure of public saunas and cafes,Health
The ad shows Sanjana slapping the male actor eight times,Food
"The total number of people living in extreme poverty could rise to over 100 crore by 2030, it added",Environment
